brand,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,potential_allergens,quality_ingredients,questionable_ingredients
1st choice,10%,313/100g,40%,11%,7%,32%,9.0%,36.0%,10.0%,6.0%,10.0%,29.0%,"Chicken,chicken meal,rice,pea protein,brown rice,pearled barley,oat groats,beet pulp,pea fiber,natural flavor,chicken fat naturally preserved with mixed tocopherols,dried tomato pomace,whole flaxseed,lecithin,potassium chloride,choline chloride,salt,calcium carbonate,calcium propionate (as a preservative),sodium bisulfate,taurine,DL-methionine,L-lysine,yeast extract,ferrous sulfate,ascorbic acid (vitamin C),chicory extract,zinc oxide,sodium selenite,alpha-tocopherol acetate (a source of vitamin E),glucosamine sulfate,nicotinic acid,Yucca schidigera extract,chondroitin sulfate,L-cystine,calcium iodate,manganous oxide,L-carnitine,D-calcium pantothenate,thiamine mononitrate,riboflavin,pyridoxine hydrochloride,vitamin A supplement,cholecalciferol (a source of vitamin D3),biotin,dried spearmint,dried parsley,green tea extract,zinc proteinate,vitamin B12 supplement,cobalt carbonate,folic acid,manganese proteinate,copper proteinate",[3],Weight Control,[2],,"chicken,chicken meal","rice,brown rice"
bravo,0%,87/100g,11%,31%,6%,53%,0.0%,2.0%,5.5%,1.0%,82.0%,9.5%,"Turkey,turkey broth,vegetable broth,turkey heart,turkey liver,dried eggs,natural flavor,agar-agar,cranberries,salmon oil,dried green lipped mussels,dandelion greens,parsley,salt,calcium carbonate,choline chloride,taurine,turmeric,potassium chloride,iron amino acid chelate,magnesium amino acid chelate,zinc amino acid chelate,manganese amino acid chelate,copper amino acid chelate,sodium selenite,calcium iodate,thiamine mononitrate,niacin supplement,vitamin E supplement,calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin B12 supplement,vitamin D3 supplement,folic acid",[4],Feline Cafe Turkey Fricassee,[4],"dried eggs,salmon oil,dried green lipped mussels","turkey,turkey heart,turkey liver",
boreal,8%,352/100g,36%,17%,4%,36%,7.5%,32.0%,15.0%,3.5%,10.0%,32.0%,"Chicken Meal,Brown Rice,Oat Meal,Pearled Barley,Chicken Fat (Naturally Preserved with Vitamin E),Herring Meal,Apple Pomace,Hydrolyzed Chicken Protein,Beet Pulp,Natural Chicken Flavour,Whole Flaxseed,Whole Chia Seed,Whey Powder,Sodium Chloride,Potassium Chloride,Methionine,Choline Chloride,Taurine,Ferric Methionine,Vitamin E Supplement,Zinc Methionine,Niacin Supplement,Folic Acid Supplement,Vitamin B12 Supplement,Copper Sulphate,Manganese Methionine,Vitamin A Supplement,Selenium,Riboflavin Supplement,Calcium Pantothenate,Biotin Supplement,Vitamin D Supplement,Calcium Iodate",[2],Proper Chicken Meal,[2],herring meal,"chicken meal,herring meal",brown rice
blue seal,0%,356/100g,50%,12%,4%,33%,0.0%,45.0%,11.0%,4.0%,10.0%,30.0%,"Poultry By-product Meal,Ground Corn,Ground Wheat,Corn Gluten Meal,Chicken Fat (mixed Tocopherols Preservative),Natural Flavor,Yeast Culture,Salt,Potassium Chloride,Dried Whey,Taurine,Dl-methionine,Choline Chloride,Vegetable Oil,Vitamin E Supplement,Zinc Sulfate,Vitamin A Supplement,Vitamin D3 Supplement,Niacin Supplement,Ferrous Sulfate,Manganese Sulfate,D-calcium Pantothenate,Thiamine Mononitrate,Copper Sulfate,Vitamin B12 Supplement,Riboflavin Supplement,Pyridoxine Hydrochloride,Calcium Iodate,Folic Acid,Biotin,Sodium Selenite,Yucca Schidigera Extract",[1],Kat Krunchies,[1],"ground corn,corn gluten meal",,"poultry by-product meal,ground corn,ground wheat,corn gluten meal"
best breed,9%,348/100g,22%,19%,8%,42%,8.0%,20.0%,17.0%,7.0%,10.0%,38.0%,"Chicken Meal,Egg Product,Chicken Fat (Preserved with Natural Mixed Tocopherols),Red Lentils,Chickpeas,Green Peas,Whitefish Meal,Dried Beet Pulp,Cellulose,Brewers Dried Yeast,Natural Chicken Flavor,Ground Flax Seed,Fish Oil,Cranberries,Blueberries,Lecithin,Kelp Meal,Salt,Potassium Chloride,DL Methionine,L-Lysine,Taurine,Vitamin E Supplement,Niacin Supplement,Biotin,Thiamine Mononitrate,Pyridoxine Hydrochloride,Vitamin A Acetate,Riboflavin Supplement,d-Calcium Pantothenate,Vitamin B12 Supplement,Citric Acid,Vitamin D3 Supplement,Folic Acid,Potassium Chloride,Ferrous Sulfate,Zinc Sulfate,Zinc Proteinate,Iron Proteinate,Zinc Oxide,Copper Sulfate,Manganese Sulfate,Manganese Proteinate,Copper Proteinate,Manganous Oxide,Sodium Selenite,Calcium Iodate",[4],Grain Free Cat Diet,[3],"egg product,whitefish meal,fish oil","chicken meal,whitefish meal",
blue buffalo,0%,351/100g,38%,13%,9%,40%,0.0%,35.0%,12.0%,8.0%,9.0%,36.0%,"Deboned Chicken,Chicken Meal,Tapioca Starch,Pea Protein,Peas,Pea Fiber,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Chicken Fat (preserved with Mixed Tocopherols),Powdered Cellulose,Flaxseed (source of Omega 6 Fatty Acids),Natural Flavor,Potato Starch,Calcium Chloride,DL-Methionine,Choline Chloride,Calcium Sulfate,Dehydrated Alfalfa Meal,Potatoes,Dried Chicory Root,Potassium Chloride,Potassium Sulfate,Alfalfa Nutrient Concentrate,Calcium Carbonate,Taurine,Salt,Sweet Potatoes,Carrots,preserved with Mixed Tocopherols,L-Carnitine,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Vitamin E Supplement,Blueberries,Cranberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Lysine,Biotin (Vitamin B7),Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary.",[3],Wilderness Weight Control Chicken,[2],menhaden fish meal,"deboned chicken,chicken meal,menhaden fish meal","tapioca starch,potato starch"
bff,0%,71/100g,18%,18%,6%,59%,0.0%,3.0%,3.0%,1.0%,83.0%,10.0%,"Turkey Broth,Turkey,Tuna,Sardine,Dried Egg,Natural Flavor,Coconut Oil,Calcium Sulfate,Locust Bean Gum,Xanthan Gum,Guar Gum,Taurine,Potassium Chloride,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Turkey & Tuna Twinkles,[4],"tuna,sardine,dried egg","turkey,tuna,sardine",guar gum
blackwood,8%,364/100g,25%,20%,4%,42%,7.6%,22.4%,18.0%,4.0%,10.0%,38.0%,"Duck Meal,Salmon Meal,Field Pea,Lentils,Chicken Fat (Preserved with Mixed Tocopherols),Chick Peas,Turkey Meal,Egg Product,Pea Protein,Tapioca Starch,Natural Flavor,Brewers Dried Yeast,Menhaden Fish Oil,Carrots,Celery,Beets,Parsley,Lettuce,Watercress,Spinach,DL-Methionine,Lecithin,Choline Chloride,Yucca Schidigera Extract,Taurine,L-Lysine,Blueberry,Cranberry,Vitamin E Supplement,Niacin Supplement,Organic Dried Kelp,Thiamine Mononitrate,Pyridoxine Hydrochloride,Riboflavin Supplement,Ascorbic Acid,Biotin,d-Calcium Pantothenate,Vitamin B12 Supplement,Vitamin A Acetate,Vitamin D3 Supplement,Citric Acid,Folic Acid,Potassium Chloride,Iron Sulfate,Zinc Sulfate,Zinc Proteinate,Iron Proteinate,Copper Sulfate,Zinc Oxide,Manganese Sulfate,Manganese Proteinate,Copper Proteinate,Manganous Oxide,Sodium Selenite,Calcium Iodate",[4],"Special Diet Duck Meal, Salmon Meal & Field Pea Recipe",[3],"salmon meal,egg product,menhaden fish oil","duck meal,salmon meal,turkey meal",tapioca starch
bench & field,2%,399/100g,37%,22%,3%,36%,1.9%,33.3%,20.0%,2.8%,10.0%,32.0%,"Chicken Meal,Ground Brown Rice,Chicken Fat (preserved with mixed tocopherols),Oatmeal,Anchovy & Sardine Meal,Flaxseed,Dried Egg Product,Natural Chicken Flavor,Carrots,Pumpkin,Menhaden Fish Oil,Cranberries,Tomato Pomace,Dehydrated Alfalfa Meal,Dried Beef Pulp,Apples,Choline Chloride,Salt,Peas,Potassium Chloride,Organic Quinoa,Inulin,Taurine,Minerals [Zinc Polysaccharide Complex,Iron Polysaccharide Complex,Copper Polysaccharide Complex,Manganese Polysaccharide Complex,Sodium Selenite,Cobalt Carbonate,Potassium Iodide],Vitamins [Beta-Carotene,Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Thiamine Mononitrate,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement,Folic Acid],Papaya,Dried Kelp,Blueberries,DL-Methionine,Pomegranate,Glucosamine Hydrochloride,Mixed Tocopherols added to preserve freshness,Ground Cinnamon,Ground Fennel,Ground Peppermint,Yucca Schidigera Extract,Dried Lactobacillus acidophilus Fermentation Product,Dried Lactobacillus casei Fermentation Product,Dried Enterococcus faecium Fermentation Product,Dried Bacillus subtilis Fermentation Product,Dried Bacillus licheniformis Fermentation Product,Dried Aspergillus oryzae Fermentation Product,Dried Aspergillus niger Fermentation Product,Rosemary Extract",[3],Holistic Feline Formula,[2],"anchovy & sardine meal,dried egg product,menhaden fish oil,dried beef pulp","chicken meal,anchovy & sardine meal",ground brown rice
beaverdam,0%,365/100g,50%,13%,3%,33%,0.0%,45.0%,12.0%,3.0%,10.0%,30.0%,"Chicken Meal,Whole Grain Sorghum,Chicken Fat (Preserved with mixed Tocopherols),Brown Rice,Fish Meal,Dried Egg,Flax Seed,Dehydrated Alfalfa Meal,Natural Chicken Flavor,Potassium Chloride,Kelp Meal,Salt,Montmorillonite,Yeast Culture,Monosodium Phosphate,Sodium Bisulfate,Vitamins (Vitamin E Supplement,Niacin Supplement,Thiamine Mononitrate,Vitamin A Supplement,Vitamin B12 Supplement,Biotin,D-Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Vitamin D3 Supplement,Folic Acid) Minerals (Calcium Carbonate,Ferrous Sulfate,Zinc Sulfate,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Copper Sulfate,Sodium Selenite,Copper Amino Acid Chelate,Manganese Sulfate,Manganese Amino Acid Chelate,Calcium Iodate,Cobalt Carbonate) Dried Chicory Root,Choline Chloride,Lecithin,Dried Enterococcus Faecium Fermentation Product,Dried Lactobacillus Acidophilus Fermentation Product,Dried Aspergillus Niger Fermentation Product,Dried Bacillus Subtilis Fermentation Product,Yucca Schidigera Extract,Taurine,Mixed Tocopherols and Citric Acid (Preservatives),Rosemary Extract",[2],Adult Maintenance Formula,[1],"fish meal,dried egg",chicken meal,brown rice
